Strain,Substrate,Substrate abbreviation,Zone/positive control,OD600
Blautia schinkii DSM 10518,Fructose,FR,Z1,1.008
Blautia schinkii DSM 10518,Fructose,FR,Z2,1.11
Blautia schinkii DSM 10518,Fructose,FR,Z3,1.098
Blautia schinkii DSM 10518,Fructose,FR,PC,1.125
Blautia schinkii DSM 10518,Fructose,FR,PCbis,1.019
Moorella thermoacetica DSM 2955,Fructose,FR,Z1,1.385
Moorella thermoacetica DSM 2955,Fructose,FR,Z2,1.465
Moorella thermoacetica DSM 2955,Fructose,FR,PC,1.625
Moorella thermoacetica DSM 2955,Fructose,FR,PCbis,1.519
Acetivibrio thermocellus DSM 1237,Fructose,FR,Z1,1.095
Acetivibrio thermocellus DSM 1237,Fructose,FR,Z2,1.06
Acetivibrio thermocellus DSM 1237,Fructose,FR,Z3,1.075
Acetivibrio thermocellus DSM 1237,Fructose,FR,PC,1.103
Acetivibrio thermocellus DSM 1237,Fructose,FR,PCbis,0.987
Clostridium ljungdahlii DSM 13528,Fructose,FR,Z1,0.427
Clostridium ljungdahlii DSM 13528,Fructose,FR,Z2,0.43
Clostridium ljungdahlii DSM 13528,Fructose,FR,Z3,0.434
Clostridium ljungdahlii DSM 13528,Fructose,FR,PC,0.625
Clostridium ljungdahlii DSM 13528,Fructose,FR,PCbis,0.519
Eubacterium limosum DSM 20543,Fructose,FR,Z1,1.629
Eubacterium limosum DSM 20543,Fructose,FR,Z2,1.584
Eubacterium limosum DSM 20543,Fructose,FR,Z3,1.578
Eubacterium limosum DSM 20543,Fructose,FR,PC,1.51
Eubacterium limosum DSM 20543,Fructose,FR,PCbis,1.35
Moorella humiferrea DSM 23265,Fructose,FR,Z1,0.116
Moorella humiferrea DSM 23265,Fructose,FR,Z2,0.28
Moorella humiferrea DSM 23265,Fructose,FR,Z3,0.221
Moorella humiferrea DSM 23265,Fructose,FR,PC,0.254
Moorella humiferrea DSM 23265,Fructose,FR,PCbis,0.233
Moorella thermoacetica DSM 7417,Fructose,FR,Z1,1.16
Moorella thermoacetica DSM 7417,Fructose,FR,Z2,1.22
Moorella thermoacetica DSM 7417,Fructose,FR,Z3,1.145
Moorella thermoacetica DSM 7417,Fructose,FR,PC,1.237
Moorella thermoacetica DSM 7417,Fructose,FR,PCbis,1.192
Thermoanaerobacter kivui DSM 2030,Fructose,FR,Z1,0.714
Thermoanaerobacter kivui DSM 2030,Fructose,FR,Z2,0.694
Thermoanaerobacter kivui DSM 2030,Fructose,FR,Z3,0.69
Thermoanaerobacter kivui DSM 2030,Fructose,FR,PC,0.672
Thermoanaerobacter kivui DSM 2030,Fructose,FR,PCbis,0.768
